constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Constrained,cifizzar,NW19DB3002,IAD118ROMP01,IAD,IAD6,IAD118,IAD116,IAD116,05/10/20,05/16/20,08/18/20,07/30/20,08/03/20,06/15/20,07/06/20,06/01/20,04/20/20,05/18/20,03/30/20,03/16/20,02/24/20,02/10/20,01/17/20,07/18/20
Constrained,cifizzar,NW19DB3002,IAD118ROMP01,IAD,IAD6,IAD118,IAD098,IAD98,01/10/21,05/16/20,08/18/20,07/30/20,08/03/20,06/15/20,07/06/20,06/01/20,04/20/20,05/18/20,03/30/20,03/16/20,02/24/20,02/10/20,01/17/20,07/18/20
Not Constrained,sannair,NW19DB2034,NRT064COLP01,NRT,NRT12,NRT064,NRT012,NRT12,09/06/20,06/01/20,09/02/20,08/15/20,08/10/20,07/01/20,07/22/20,06/17/20,02/24/20,06/03/20,04/15/20,04/01/20,03/11/20,02/26/20,02/02/20,07/18/20
Constrained,tmocook,NW18DB4032,PDX066ROMP01,PDX,PDX1,PDX066,PDX056,PDX56,05/10/20,06/06/20,09/10/20,08/20/20,08/13/20,07/06/20,07/27/20,06/22/20,04/30/20,06/08/20,04/20/20,04/06/20,03/16/20,03/02/20,02/07/20,07/18/20
Not Constrained,stkeck,NW18DB4007,DUB058ROMP01,DUB,DUB8,DUB058,DUB052,DUB52,11/08/20,06/10/20,09/23/20,08/24/20,09/07/20,07/10/20,07/31/20,06/26/20,05/25/20,06/12/20,04/24/20,04/10/20,03/20/20,03/06/20,02/11/20,07/18/20
Not Constrained,stkeck,NW18DB4007,DUB058ROMP01,DUB,DUB8,DUB058,DUB008,DUB8,12/06/20,06/10/20,09/23/20,08/24/20,09/07/20,07/10/20,07/31/20,06/26/20,05/25/20,06/12/20,04/24/20,04/10/20,03/20/20,03/06/20,02/11/20,07/18/20
Not Constrained,cifizzar,NW18DB4042,IAD131ROMP01,IAD,IAD7,IAD131,IAD130,IAD130,07/11/21,06/13/20,09/07/20,08/27/20,08/20/20,07/13/20,08/03/20,06/29/20,05/07/20,06/15/20,04/27/20,04/13/20,03/23/20,03/09/20,02/14/20,07/18/20
Constrained,cifizzar,NW18DB4042,IAD131ROMP01,IAD,IAD7,IAD131,IAD132,IAD132,01/03/21,06/13/20,09/07/20,08/27/20,08/20/20,07/13/20,08/03/20,06/29/20,05/07/20,06/15/20,04/27/20,04/13/20,03/23/20,03/09/20,02/14/20,07/18/20
Not Constrained,cifizzar,NW18DB4042,IAD131ROMP01,IAD,IAD7,IAD131,IAD085,IAD85,10/31/21,06/13/20,09/07/20,08/27/20,08/20/20,07/13/20,08/03/20,06/29/20,05/07/20,06/15/20,04/27/20,04/13/20,03/23/20,03/09/20,02/14/20,07/18/20
Not Constrained,cifizzar,NW18DB4042,IAD131ROMP01,IAD,IAD7,IAD131,IAD095,IAD95,08/02/20,06/13/20,09/07/20,08/27/20,08/20/20,07/13/20,08/03/20,06/29/20,05/07/20,06/15/20,04/27/20,04/13/20,03/23/20,03/09/20,02/14/20,07/18/20
Constrained,tmocook,NW20DB1003,PDX091ROMP01,PDX,PDX4,PDX091,PDX004,PDX4,05/17/20,07/11/20,10/08/20,09/24/20,09/10/20,08/10/20,08/31/20,07/27/20,05/28/20,07/13/20,05/25/20,05/11/20,04/20/20,04/06/20,03/13/20,07/18/20
Constrained,tmocook,NW20DB1003,PDX091ROMP01,PDX,PDX4,PDX091,PDX055,PDX55,05/10/20,07/11/20,10/08/20,09/24/20,09/10/20,08/10/20,08/31/20,07/27/20,05/28/20,07/13/20,05/25/20,05/11/20,04/20/20,04/06/20,03/13/20,07/18/20
Constrained,cifizzar,NW19DB2032,IAD151ROMP01,IAD,IAD1,IAD151,IAD150,IAD150,05/30/21,07/18/20,09/28/20,10/01/20,09/14/20,08/17/20,09/07/20,08/03/20,06/01/20,07/20/20,06/01/20,05/18/20,04/27/20,04/13/20,03/20/20,07/18/20
Constrained,cifizzar,NW19DB2032,IAD151ROMP01,IAD,IAD1,IAD151,IAD061,IAD61,05/10/20,07/18/20,09/28/20,10/01/20,09/14/20,08/17/20,09/07/20,08/03/20,06/01/20,07/20/20,06/01/20,05/18/20,04/27/20,04/13/20,03/20/20,07/18/20
Constrained,cifizzar,NW19DB2032,IAD151ROMP01,IAD,IAD1,IAD151,IAD063,IAD63,03/07/21,07/18/20,09/28/20,10/01/20,09/14/20,08/17/20,09/07/20,08/03/20,06/01/20,07/20/20,06/01/20,05/18/20,04/27/20,04/13/20,03/20/20,07/18/20
